Filename,Average matched points,Average distance,Average process time (μs),Size
scene_10.jpeg,0.000000,0.186566,738272,956x1276
scene_100.jpeg,0.000000,0.208761,760488,1276x956
scene_101.jpeg,0.000000,0.214162,486306,956x1276
scene_102.jpeg,0.657895,0.178262,875375,1276x956
scene_103.jpeg,0.755263,0.205250,615964,956x1276
scene_104.jpeg,0.841530,0.155759,1059241,1276x956
scene_105.jpeg,0.600000,0.187883,704755,956x1276
scene_11.jpeg,0.000000,0.232825,329991,397x394
scene_12.jpeg,0.905694,0.157229,687969,1276x956
scene_13.jpeg,0.024631,0.207192,629150,1276x956
scene_14.jpeg,0.063415,0.201411,975649,1276x956
scene_15.jpeg,0.622905,0.204891,507634,956x1276
scene_16.jpeg,0.380165,0.208508,651591,956x1276
scene_17.jpeg,0.000000,0.217497,661526,1276x956
scene_18.jpeg,0.000000,0.170715,990416,1276x956
scene_19.jpeg,0.000000,0.291764,458676,956x1276
scene_2.jpeg,0.000000,0.213500,536264,956x1276
scene_20.jpeg,0.000000,0.195059,901994,1276x956
scene_21.jpeg,0.797101,0.184064,635722,1276x956
scene_22.jpeg,0.763672,0.161466,853894,1276x956
scene_23.jpeg,0.000000,0.214902,540431,956x1276
scene_24.jpeg,0.740984,0.188479,1067344,1276x956
scene_25.jpeg,0.792976,0.165314,866545,1276x956
scene_26.jpeg,0.025751,0.208286,647230,1276x956
scene_27.jpeg,0.648199,0.209443,537139,956x1276
scene_28.jpeg,0.087227,0.213578,508869,956x1276
scene_29.jpeg,0.335821,0.201327,727578,956x1276
scene_3.jpeg,0.159151,0.193879,557256,956x1276
scene_30.jpeg,0.857534,0.179779,607839,956x1276
scene_31.jpeg,0.002710,0.195190,666998,1276x956
scene_32.jpeg,0.548951,0.278920,409457,956x1276
scene_33.jpeg,0.676630,0.182206,889405,1276x956
scene_34.jpeg,0.818182,0.192972,676522,956x1276
scene_35.jpeg,0.242958,0.218138,502033,1276x956
scene_36.jpeg,0.000000,0.200667,653357,1276x956
scene_37.jpeg,0.833698,0.184779,634215,956x1276
scene_38.jpeg,0.000000,0.220761,578614,956x1276
scene_39.jpeg,0.653199,0.179388,1108200,1276x956
scene_4.jpeg,0.833040,0.171229,820113,956x1276
scene_40.jpeg,0.739806,0.179555,703059,956x1276
scene_41 resized 2.jpeg,0.925546,0.162315,1133732,1500x2002
